,Dispatch,HE
Unit,,
AMOCOOIL_CC2_9,197.384,1
BASTEN_CC1_2,389.988,1
BBSES_UNIT1,0.0,1
BORDAS_JAVEL20,240.0,1
BRAZ_WND_WND2,70.0,1
BULLCRK_WND1,89.0,1
BULLCRK_WND2,91.0,1
BYU_CC1_4,180.011,1
CEDROHIL_CHW1,80.0,1
CHE_CC1_7,297.0,1
CSEC_CSECG2,120.0,1
DDPEC_CC1_4,733.0,1
DNDAM_DENISOG1,40.0,1
DUKE_CC1_2,471.0,1
EXN_EXN_G14,5.708,1
EXN_EXN_G2,1.064,1
FPPYD1_FPP_G1_J01,296.0,1
GOAT_GOATWIN2,77.0,1
GRSES_UNIT1,0.0,1
GRSES_UNIT2,0.0,1
HHGT_HHOLLOW3,241.4,1
HRFDWIND_JRDWIND1,146.2,1
INDL_INADALE1,205.0,1
INDNENR_INDNENR_2,77.0,1
INGLCOSW_CC1_4,121.002,1
KING_NE_KINGNE,85.6,1
KING_SE_KINGSE,43.5,1
LOADSHED,0.0,1
LONEWOLF_G1,51.1,1
LONEWOLF_G2,52.7,1
LONEWOLF_G4,24.8,1
LV3_UNIT_1,200.0,1
MNSES_UNIT1,0.0,1
NWF_NWF1,93.0,1
OECCS_CC1_4,323.0,1
OGSES_UNIT2,880.0,1
PB2SES_CT4,0.0,1
PC_NORTH_PANTHER1,142.5,1
PENA_UNIT1,160.8,1
PENA_UNIT2_J02,77.0,1
PH1_UNIT2,110.0,1
PSG_CC1_2,516.0,1
PYR_PYRON1,255.0,1
RIONOG_CC1_6,510.0,1
SCLPCOGN_SCLPC_2,51.419,1
SCLPCOGN_SCLPC_4,53.317,1
SDSES_UNIT4,630.0,1
SHANNONW_UNIT_1,210.0,1
SPLAIN1_WIND2,105.0,1
SPLAIN2_WIND22,1.89,1
TGW_T1,116.5,1
TKWSW1_ROSCOE,215.0,1
AMOCOOIL_CC2_9,199.123,2
BASTEN_CC1_2,313.04499999999996,2
BBSES_UNIT1,0.0,2
BORDAS_JAVEL20,240.0,2
